time_s,n,cross_track_p05,cross_track_p50,cross_track_p95,cross_track_min,cross_track_max,altitude_error_p05,altitude_error_p50,altitude_error_p95,altitude_p05,altitude_p50,altitude_p95,est_pos_error_p50,est_pos_error_p95
129,62,-25.2911953,-0.122313659,15.2603518,-60.1745435,24.6030333,-1.06096894,0.163842659,1.35941739,121.663199,125.533961,129.662854,1.687575,4.2026227
130,62,-15.4854805,0.246609356,18.1355966,-46.0807609,36.8924765,-1.42522985,0.152153378,1.43186725,121.493248,125.43155,130.125148,1.67290204,4.15184484
131,62,-13.9458696,0.798884971,15.0219336,-46.4412072,21.8896914,-1.31229812,0.21960396,1.50800136,121.050651,124.981272,130.043504,1.6386235,4.21504088
132,62,-10.6113005,0.517844177,13.3356369,-50.3640357,23.4014773,-1.31107405,0.0245930916,1.70420385,120.614606,124.461081,129.927921,1.63409414,4.08183408
133,62,-17.8044716,0.421480881,21.9059232,-46.7337084,33.9451481,-1.27689321,0.11718075,1.85675763,120.626631,124.089374,129.776655,1.5993346,4.16868384
134,62,-27.1522853,0.264884891,20.0358709,-51.8906222,29.9724103,-1.40043628,0.13466329,1.27930158,120.148293,123.701898,129.622894,1.61196379,4.22790411
135,62,-21.499304,0.0228087333,25.8066853,-58.6013979,34.4469775,-1.77514274,0.074864378,1.4631287,119.641001,123.335737,129.143637,1.6683458,4.19055162
136,62,-24.8343187,0.143070619,29.9626237,-57.6379878,35.8730824,-1.75006213,0.1759327,1.68531363,118.939971,122.751991,128.867117,1.65163785,4.0695409
137,62,-17.2304682,0.0870264796,16.3749572,-49.1849249,33.7420052,-1.69922499,0.0354196055,1.37311483,119.188859,122.470039,128.673802,1.69478704,4.06059137
138,62,-27.2122156,-0.238517615,31.1126391,-61.3647074,34.904866,-1.98914251,-0.200498842,1.43734167,118.672019,122.431099,128.632852,1.70434934,3.88653209
139,62,-18.9966554,-0.209269261,30.8782984,-68.8230289,36.8863998,-2.63895638,-0.36738296,1.45793035,118.588269,122.268218,128.200037,1.6655672,4.10187536
140,62,-18.6962956,0.168160426,20.2945345,-68.2761401,34.8220453,-2.32231184,-0.123452431,1.21751022,118.552985,122.460248,127.946135,1.69680896,4.05076159
141,62,-16.2101581,0.247949327,23.8432681,-60.131458,36.675548,-2.39714753,-0.126182804,1.51948226,118.55189,122.375568,128.022634,1.73998107,4.01161769
142,62,-13.1550294,0.662650829,20.3427946,-45.8496853,36.8759739,-2.30632263,-0.200754199,1.9455081,119.056863,122.774164,129.477722,1.66234414,3.96195349
143,62,-8.11336548,0.681284439,29.253178,-45.6176512,36.0002062,-2.07758949,-0.257817348,1.37209905,119.007995,123.103419,129.415181,1.68587685,4.12329178
144,62,-11.4410399,1.57322205,22.4711519,-56.7601409,34.1165812,-1.96319153,-0.410905102,1.61936265,118.993944,123.934533,129.64952,1.72353725,4.16024187
145,62,-14.6115586,2.32776193,12.0360405,-61.0537348,24.1225902,-2.3017244,-0.535782166,1.44932137,118.789956,124.529568,131.391488,1.80564797,4.08853114
146,62,-26.0399094,0.401553411,8.43114386,-57.7878833,26.091934,-2.01818077,-0.467483403,1.67991732,119.336526,125.440877,132.680859,1.77220025,4.08309764
147,62,-25.9355482,0.127757816,7.64243345,-47.006614,35.1174805,-2.02199225,-0.258155559,1.74367044,119.258628,125.665013,133.846114,1.7953092,4.11402212
148,62,-19.6414927,-0.0824850876,7.98877222,-58.7492295,36.8404465,-1.80001125,-0.224898978,1.42878108,120.315716,126.536024,135.227446,1.77400404,4.1582786
149,62,-17.5478461,0.0499421683,19.732691,-67.8289934,30.9335411,-1.56133327,-0.174727793,1.10804669,119.778891,127.253149,136.650911,1.78522625,4.11926874
150,62,-22.21161,0.596827666,16.0575346,-68.9538201,28.1865556,-2.33068756,-0.21825157,1.32955963,119.64111,128.221253,137.978718,1.74994784,4.12966234
151,62,-14.3929947,0.93632939,11.8204589,-62.7453569,32.7628841,-1.97406957,-0.156982251,1.53807086,119.282154,128.993949,139.236337,1.73342183,4.06313874
152,62,-20.3373862,0.808836478,22.0437551,-57.5397947,36.1936116,-2.09346568,-0.00880245366,1.3329286,120.790964,130.419446,139.706335,1.73864638,4.16959584
153,62,-38.4861035,0.885299895,22.3135904,-61.8830931,28.4324428,-1.96366921,-0.0675079248,1.20289776,120.367802,131.925073,141.285661,1.75172588,4.16184254
154,62,-38.8858274,0.284450338,11.6210973,-71.4608938,20.0870884,-1.7454232,-0.129841884,1.25635588,120.474058,133.26121,142.56841,1.83502958,4.14644151
155,62,-27.3860335,0.461676003,7.55466117,-100.429555,34.2962076,-1.51472516,-0.117121092,1.36522506,120.671062,134.674834,143.910876,1.81176162,4.12102553
156,62,-29.4973938,0.216695614,9.95811332,-122.981773,29.695707,-1.54777995,0.0452354999,1.57157675,120.613464,135.920612,145.414013,1.88734136,4.05326514
157,62,-17.9969215,0.0942482888,5.01266672,-137.694386,18.4057223,-1.50847278,0.0860987194,1.54261922,121.851867,137.035717,146.472864,1.93643575,4.02561592
158,62,-15.5651689,0.216694872,18.9194746,-144.550437,33.4859396,-1.80059153,0.0479108266,1.47507075,122.271937,138.343293,148.330211,1.94662023,4.02316941
159,62,-12.4378227,0.378752051,22.0954815,-143.850957,35.8346384,-1.7627669,0.00932904552,1.48042059,122.110633,139.761899,149.55104,1.81155786,3.90577479
160,62,-14.9918811,0.352924157,29.4014002,-137.268435,37.2115408,-1.46128307,-0.17114991,1.36204762,122.116041,141.273672,150.764202,1.77892834,4.00163797
161,62,-20.5505788,0.309470252,19.6156004,-125.703723,39.2437324,-1.45230942,-0.135531611,1.42924528,122.049987,142.459913,151.429245,1.7769073,4.19307535
162,62,-26.3869449,0.104765754,23.9036729,-109.48008,39.1974984,-1.61400074,0.0661112739,1.30261903,122.246936,143.548349,151.302619,1.8897417,4.32837526
