index,seed,ok,mass_kg,inertia_scale,cl_alpha,cm_alpha,wind_speed_mps,wind_direction_rad,w20_mps,density_scale,sensor_scale,init_altitude_offset_m,init_airspeed_offset_mps,init_yaw_offset_rad,simulated_time_s,rms_cross_track_m,max_cross_track_m,rms_altitude_error_m,max_altitude_error_m,rms_airspeed_error_mps,max_bank_deg,max_alpha_deg,laps_completed,waypoints_reached,estimator_position_rmse_m,estimator_velocity_rmse_mps,estimator_attitude_rmse_deg,estimator_yaw_rmse_deg,final_gyro_bias_error_radps,final_accel_bias_error_mps2,min_cov_eigenvalue,wall_clock_s
199,6.54275254e+17,1,12.4007808,0.992905514,4.69064795,-0.906178254,0,-0.664464951,0.5,1.01289158,1.73875393,-6.78134819,-0.506558596,0.0576200639,299.996,9.70464635,41.4275473,1.90576731,4.3448442,0.62409452,40.6162495,10.5514978,2,13,3.1158377,0.169728116,1.12907264,0.740832145,0.00176532723,0.165350296,2.22201938e-06,2.31717768
200,5.4430854e+18,1,12.6934136,0.952535454,4.71004996,-1.13113115,7.94609039,-2.33593825,3.41225574,1.02007746,0.777582558,9.8800098,0.00853443358,-0.105554421,299.996,10.2574088,41.6662057,0.936803047,4.43633468,0.640552521,39.688495,13.9782681,2,12,1.03020598,0.119459617,1.33615574,0.928587254,0.00240737912,0.107603894,2.22158712e-06,2.28798228
201,2.49545837e+18,1,13.2214278,1.07133664,4.75319473,-1.21295669,3.06019718,-1.84866224,8.71603956,1.02077192,1.17963169,-8.43844299,1.81065584,0.61516313,299.996,14.4405389,62.0214043,0.836072821,4.31490502,0.795508858,39.0548413,11.2311576,2,13,2.76517357,0.27547614,1.17012537,1.04646428,0.00104851244,0.114316285,2.22233706e-06,2.31802769
202,3.32197807e+18,1,14.4134292,0.977585623,5.02069722,-1.10205865,4.21904908,1.6676123,8.83029728,1.08699484,0.790974626,-13.9372482,0.60082075,-0.571128779,299.996,18.6685696,88.9474267,1.46837443,5.14201582,0.73936984,40.1252047,12.2525608,2,12,1.71869579,0.291601242,1.36380478,1.16444709,0.00065720203,0.0751380653,2.22213419e-06,2.3153679
203,1.61907829e+18,1,14.2732128,0.950664689,5.30640286,-1.27212072,2.72538364,-0.959366461,4.02899913,0.983086618,0.597815119,3.21958123,0.114590251,0.189810231,299.996,11.0290149,41.4633805,0.950832813,4.45568394,0.661632932,39.4717839,11.8225505,2,13,0.889814319,0.131039402,0.901747528,0.608682863,0.00135846195,0.100885806,2.22189915e-06,2.3594284
204,1.37646261e+19,1,14.2020006,1.07692926,4.84995739,-1.06792344,0,2.32564783,6.74075403,0.957976844,1.2484365,-11.2370093,-0.487214894,0.504724551,299.996,11.0451036,41.531471,1.02670675,4.14643186,0.763233529,40.6909627,23.0691559,2,13,1.33521849,0.244007729,2.10959755,1.11455198,0.00428525168,0.245761649,2.22258598e-06,2.29650329
205,1.54720873e+19,1,11.853927,0.95236048,4.57470678,-1.08653783,2.81706408,-0.0426480006,6.6378929,0.909169933,0.647233251,13.4347434,0.095407362,0.254587565,299.996,12.4609042,41.3736394,0.785074564,4.51960482,0.711183421,41.183231,13.3216049,2,13,1.10197563,0.191398226,0.927295018,0.733504051,0.00238608221,0.082312502,2.22199607e-06,2.31528885
206,1.06053544e+19,1,12.8018927,1.08045836,5.31335293,-1.05085066,7.37751306,-2.36775534,8.4086021,1.00571298,0.847723203,0.198720611,1.16220501,-0.0776310178,299.996,10.4530407,41.8400237,1.20166333,5.67389366,0.71847701,40.066562,10.2863516,2,12,1.48530414,0.266124426,1.09384202,0.923069661,0.000579269005,0.0237296483,2.22181342e-06,2.33497126
207,1.83801351e+19,1,11.8908428,0.949211263,4.62392817,-1.11497745,9.51927698,3.08816188,5.71946186,1.05780544,1.09425353,-9.859592,0.193667436,-0.203291668,299.996,14.9075339,72.9687381,0.714187245,4.01400959,0.672936928,39.83996,9.86482067,2,12,1.40195764,0.236496527,2.52862831,2.12117477,0.00279720618,0.132984877,2.22161491e-06,2.29785389
208,9.39885297e+18,1,14.0511192,1.05425909,3.82697273,-0.966733386,5.43928868,0.868089011,7.35088009,1.08483302,0.882509754,25.3376501,-0.385386066,0.0801334631,299.996,13.6199664,58.5983364,0.809353259,3.34996701,0.677249753,41.8044804,13.8619108,2,12,1.28333669,0.25440925,1.30216383,1.10824916,0.00249373634,0.0835088632,2.22183707e-06,2.27393208
209,1.09331229e+19,1,13.6956044,0.881607943,4.83379783,-1.25363601,7.71926831,1.60416339,4.07316119,1.0225619,1.0677678,9.63831018,1.45767203,0.12493352,299.996,15.4014425,66.9285683,1.15834228,3.74469685,0.619137238,38.1221848,11.7712844,2,11,1.36710302,0.15415735,0.778420809,0.584844399,0.00148104926,0.0636438708,2.22165524e-06,2.31659536
210,1.10754726e+19,1,13.6939566,0.992927759,4.29346234,-1.46090005,5.12379181,0.364297374,8.96901524,0.99542724,1.04383635,9.85287935,0.571467261,-0.259260555,299.996,15.3423512,70.9329101,0.908116149,4.51982082,0.756780958,45.4345715,15.0438056,2,12,1.70117135,0.308447991,2.06300568,1.51608756,0.000402576388,0.129795879,2.22198639e-06,2.32248821
211,1.61543566e+19,0,14.1499064,0.959924917,3.69164447,-1.29562536,5.79086362,-2.80076524,7.39433748,1.01726961,1.409573,4.96626196,0.375546707,-0.110894853,228.256,18.6297793,79.0715629,12.9060919,110.040874,1.64050428,40.1042483,35.4665309,1,9,2.42681151,0.257311305,1.1077772,0.976506231,0.00233693598,0.136066294,2.2219033e-06,1.74571543
212,4.80950625e+18,1,13.1035586,1.07903087,4.26536445,-1.3747447,3.00351521,0.679579057,11.2725025,0.929307146,1.37779127,-3.18222237,-0.235856846,0.576771485,299.996,16.8605798,88.9463276,0.880325388,3.95896286,0.875564148,43.6646173,13.8660085,2,12,1.68308466,0.388397076,2.3400858,1.55812669,0.00295035686,0.31716608,2.22195674e-06,2.2783476
213,5.23327418e+18,1,16.568433,1.02674358,5.6437538,-1.18007232,5.51373954,0.594541794,1.33696761,1.09776336,1.26354456,-1.02064084,-1.17215774,0.0680360646,299.996,12.6714254,48.1878459,0.920306899,4.44306677,0.607229281,39.8987532,11.5916511,2,12,1.91236898,0.150023565,1.42495592,0.784510977,0.00179715571,0.311546052,2.22167604e-06,2.30120197
214,1.63616041e+19,1,14.7347544,0.899032304,5.55216215,-1.1834504,6.93866778,0.67446191,2.33615485,1.07183874,1.17900967,11.068337,-0.224424686,0.1682867,299.996,14.4752031,69.4764645,1.07304785,4.90217855,0.660745928,40.3213862,10.3423636,2,12,2.1931934,0.15405935,1.47719606,0.805469155,0.00182685608,0.164653921,2.22163244e-06,2.33230497
215,1.69860059e+19,1,14.192516,1.00395871,5.49156642,-1.1873096,2.30304738,2.78044156,4.95486018,0.971831752,1.33146521,1.75663999,-0.739278318,0.136540757,299.996,9.71594997,41.5904013,0.919952113,3.83600373,0.704234791,39.5435234,10.5790103,2,12,2.16476122,0.182332976,1.41414588,0.959116889,0.0010519865,0.250564267,2.22192165e-06,2.33981966
216,7.56177362e+18,1,15.1049718,0.98654432,4.31034556,-1.21476492,6.93314601,2.85329542,6.48433715,1.00610747,0.927597473,-20.4134926,0.648265888,0.548967097,299.996,10.7665456,41.4486023,1.11306242,5.05186522,0.68776676,41.0797157,13.3922217,2,12,2.58879207,0.214760279,0.902332937,0.71229957,0.000642871898,0.058700327,2.22173417e-06,2.28325527
217,1.31812696e+19,1,12.8397312,0.945429807,5.60012406,-1.24390392,8.82801,-3.0031022,7.08919208,1.02668153,1.04481795,6.77636473,1.2639139,0.360247021,299.996,15.3200629,73.1674383,0.841394564,4.51991682,0.723893479,39.4891852,8.78035766,2,11,2.58286227,0.235758909,1.22662343,0.984738394,0.00243458793,0.204710627,2.22164793e-06,2.30546524
218,1.30785355e+19,1,14.2968483,0.950091657,5.38549243,-1.20006148,5.85208228,-1.52188588,14.0339824,0.884640453,0.695512174,11.9856951,-1.91409592,-0.364615407,299.996,13.6077786,69.931919,0.941046416,4.96158019,0.862190891,40.567203,15.9352672,2,13,1.0551865,0.429238423,2.38797422,2.13025411,0.00414817178,0.209478092,2.22257226e-06,2.33894742
